Date,Open Price,Close Price,High Price,Low Price,Volume
21-Jan-14,3159.22,3153.08,3176.99,3149.18,0
22-Jan-14,3159.98,3151.27,3171.26,3138.9,0
23-Jan-14,3147.79,3117.08,3160.16,3107.7,0
24-Jan-14,3115.95,3028.2,3123.55,3023.71,0
27-Jan-14,3032.15,3014.62,3041.19,3006.74,0
28-Jan-14,3024.8,3038.6,3047.75,3017.82,0
29-Jan-14,3054.64,3011.45,3076.96,2974.25,0
30-Jan-14,3011.31,3027.3,3041.05,2985.7,0
31-Jan-14,3023.86,3013.96,3026.84,2963.23,0
03-Feb-14,3012.25,2963.96,3026.9,2961.34,0
04-Feb-14,2957.72,2962.49,2976.12,2944.13,0
05-Feb-14,2956.11,2962.51,2976.36,2947.62,0
06-Feb-14,2968.63,3010.79,3017.85,2965.71,0
07-Feb-14,3013.63,3038.49,3039.98,2996.26,0
10-Feb-14,3049.35,3032.53,3049.96,3026.67,0
11-Feb-14,3039.08,3077.08,3077.08,3039.08,0
12-Feb-14,3084.26,3094.89,3109.26,3081.74,0
13-Feb-14,3088.58,3097.95,3099.36,3063.16,0
14-Feb-14,3100.8,3119.06,3123.66,3094.42,0
17-Feb-14,3121.04,3118.91,3130.06,3112.53,0
18-Feb-14,3122.36,3117.44,3124.83,3096.27,0
19-Feb-14,3112.49,3120.8,3132.47,3096.48,0
20-Feb-14,3096.03,3121.59,3121.59,3079.46,0
21-Feb-14,3129.25,3131.67,3134.64,3113.56,0
24-Feb-14,3130.87,3157.31,3157.31,3120.45,0
25-Feb-14,3150.05,3157.48,3158.8,3133.98,0
26-Feb-14,3157.72,3148.19,3162.95,3135.03,0
27-Feb-14,3147.57,3134.94,3151.16,3105.58,0
28-Feb-14,3139.21,3149.23,3150.15,3115.03,0
03-Mar-14,3124.81,3053.99,3124.81,3053.85,0
04-Mar-14,3081.59,3136.33,3136.51,3081.59,0
05-Mar-14,3131.54,3135.97,3145.79,3123.98,0
06-Mar-14,3146.7,3144.53,3158.15,3134.07,0
07-Mar-14,3144.83,3095.31,3151.24,3094.12,0
10-Mar-14,3093.62,3092.79,3126.62,3074.4,0
11-Mar-14,3099.84,3092.55,3117.91,3085.73,0
12-Mar-14,3080.01,3065.46,3080.58,3043.57,0
13-Mar-14,3068.66,3019.54,3077.04,3019.54,0
14-Mar-14,3006.38,3004.64,3015.53,2971.47,0
17-Mar-14,3003.67,3049.19,3052.86,3001.7,0
18-Mar-14,3045.8,3073.75,3096.29,3029.12,0
19-Mar-14,3075.17,3076.36,3089.3,3062.51,0
20-Mar-14,3058.21,3088.9,3088.9,3040.44,0
